,Trial-ID,Status,Iteration,batch_size,conv1,conv2,h1,h2,kernel1,kernel2,lr,Objective
112,57,INTERMEDIATE,1,1024.0,8.0,8.0,30.0,2.0,3.0,7.0,0.03837161004500818,0.8430675338783317
113,57,COMPLETED,1,1024.0,8.0,8.0,30.0,2.0,3.0,7.0,0.03837161004500818,0.8430675338783317
114,58,INTERMEDIATE,1,512.0,5.0,4.0,19.0,2.0,6.0,4.0,0.04766730586472371,1.0251871456181552
115,58,COMPLETED,1,512.0,5.0,4.0,19.0,2.0,6.0,4.0,0.04766730586472371,1.0251871456181552
116,59,INTERMEDIATE,1,1024.0,5.0,0.0,46.0,51.0,5.0,7.0,0.012868939977272165,0.9307633914966694
117,59,COMPLETED,1,1024.0,5.0,0.0,46.0,51.0,5.0,7.0,0.012868939977272165,0.9307633914966694
118,60,INTERMEDIATE,1,1024.0,5.0,7.0,28.0,56.0,7.0,6.0,0.034128120658158706,0.8318512599598951
119,60,COMPLETED,1,1024.0,5.0,7.0,28.0,56.0,7.0,6.0,0.034128120658158706,0.8318512599598951
120,61,INTERMEDIATE,1,2048.0,2.0,3.0,54.0,51.0,4.0,3.0,0.03924380723454333,0.9263513854975413
121,61,COMPLETED,1,2048.0,2.0,3.0,54.0,51.0,4.0,3.0,0.03924380723454333,0.9263513854975413
122,62,INTERMEDIATE,1,1024.0,3.0,0.0,34.0,49.0,4.0,3.0,0.02599201146760927,0.9700614119987466
123,62,COMPLETED,1,1024.0,3.0,0.0,34.0,49.0,4.0,3.0,0.02599201146760927,0.9700614119987466
124,63,INTERMEDIATE,1,1024.0,6.0,3.0,58.0,15.0,6.0,3.0,0.009144494300838331,1.2117794924247698
125,63,COMPLETED,1,1024.0,6.0,3.0,58.0,15.0,6.0,3.0,0.009144494300838331,1.2117794924247698
126,64,INTERMEDIATE,1,512.0,9.0,0.0,60.0,19.0,4.0,3.0,0.005217356788711703,0.9597581832571053
127,64,COMPLETED,1,512.0,9.0,0.0,60.0,19.0,4.0,3.0,0.005217356788711703,0.9597581832571053
128,65,INTERMEDIATE,1,512.0,2.0,9.0,48.0,42.0,2.0,5.0,0.04409330916824653,0.8313891840100845
