,Trial-ID,Status,Iteration,batch_size,conv1,conv2,h1,h2,kernel1,kernel2,lr,Objective
155,78,COMPLETED,1,2048.0,9.0,9.0,41.0,46.0,5.0,3.0,0.005238418160285264,0.050982611380792145
156,79,INTERMEDIATE,1,1024.0,2.0,5.0,16.0,24.0,3.0,2.0,0.0324021776350905,0.05981253260239763
157,79,COMPLETED,1,1024.0,2.0,5.0,16.0,24.0,3.0,2.0,0.0324021776350905,0.05981253260239763
158,80,INTERMEDIATE,1,512.0,8.0,4.0,18.0,31.0,6.0,5.0,0.04812611203712019,0.06759641992168633
159,80,COMPLETED,1,512.0,8.0,4.0,18.0,31.0,6.0,5.0,0.04812611203712019,0.06759641992168633
160,81,INTERMEDIATE,1,2048.0,7.0,3.0,56.0,56.0,4.0,2.0,0.006011235884920061,0.06979903045648894
161,81,COMPLETED,1,2048.0,7.0,3.0,56.0,56.0,4.0,2.0,0.006011235884920061,0.06979903045648894
162,82,INTERMEDIATE,1,1024.0,8.0,4.0,17.0,58.0,4.0,7.0,0.04989957362926949,0.05739226140676319
163,82,COMPLETED,1,1024.0,8.0,4.0,17.0,58.0,4.0,7.0,0.04989957362926949,0.05739226140676319
164,83,INTERMEDIATE,1,2048.0,9.0,8.0,45.0,60.0,4.0,7.0,0.02301031647441962,0.05814725507408633
165,83,COMPLETED,1,2048.0,9.0,8.0,45.0,60.0,4.0,7.0,0.02301031647441962,0.05814725507408633
166,84,INTERMEDIATE,1,512.0,2.0,3.0,16.0,29.0,2.0,4.0,0.032259191497486885,0.0646620874620765
167,84,COMPLETED,1,512.0,2.0,3.0,16.0,29.0,2.0,4.0,0.032259191497486885,0.0646620874620765
168,85,INTERMEDIATE,1,1024.0,3.0,9.0,41.0,23.0,4.0,3.0,0.036589879729770694,0.06849839597278674
169,85,COMPLETED,1,1024.0,3.0,9.0,41.0,23.0,4.0,3.0,0.036589879729770694,0.06849839597278674
170,86,INTERMEDIATE,1,1024.0,7.0,9.0,64.0,15.0,4.0,6.0,0.006353449385575008,0.057711406683472695
171,86,COMPLETED,1,1024.0,7.0,9.0,64.0,15.0,4.0,6.0,0.006353449385575008,0.057711406683472695
172,87,INTERMEDIATE,1,512.0,5.0,5.0,26.0,63.0,4.0,6.0,0.04196227726743785,0.06454729802800768
173,87,COMPLETED,1,512.0,5.0,5.0,26.0,63.0,4.0,6.0,0.04196227726743785,0.06454729802800768
174,88,INTERMEDIATE,1,2048.0,4.0,7.0,53.0,41.0,3.0,3.0,0.028222567752236558,0.05076058006744997
175,88,COMPLETED,1,2048.0,4.0,7.0,53.0,41.0,3.0,3.0,0.028222567752236558,0.05076058006744997
176,89,INTERMEDIATE,1,1024.0,7.0,2.0,16.0,50.0,5.0,4.0,0.048379303947446925,0.07168872772373473
177,89,COMPLETED,1,1024.0,7.0,2.0,16.0,50.0,5.0,4.0,0.048379303947446925,0.07168872772373473
178,90,INTERMEDIATE,1,1024.0,3.0,3.0,50.0,14.0,5.0,6.0,0.03983994780059186,0.05898675211098582
179,90,COMPLETED,1,1024.0,3.0,3.0,50.0,14.0,5.0,6.0,0.03983994780059186,0.05898675211098582
180,91,INTERMEDIATE,1,1024.0,9.0,5.0,50.0,22.0,3.0,6.0,0.02463444890638224,0.06274151796785041
