,Trial-ID,Status,Iteration,hidden1,hidden2,hidden_pm,hidden_tooth,hidden_winding,hidden_yoke,input_rec,lr,output_rec,window,Objective
383,192,COMPLETED,1,15.0,29.0,20.0,5.0,11.0,12.0,0.0,0.001,1.0,6.0,276.08904535043985
384,193,INTERMEDIATE,1,43.0,47.0,4.0,17.0,5.0,17.0,0.0,0.001,1.0,4.0,250.6557666864246
385,193,COMPLETED,1,43.0,47.0,4.0,17.0,5.0,17.0,0.0,0.001,1.0,4.0,250.6557666864246
386,194,INTERMEDIATE,1,23.0,37.0,8.0,14.0,11.0,3.0,1.0,0.001,1.0,4.0,202.66212721914053
387,194,COMPLETED,1,23.0,37.0,8.0,14.0,11.0,3.0,1.0,0.001,1.0,4.0,202.66212721914053
388,195,INTERMEDIATE,1,46.0,42.0,11.0,18.0,17.0,8.0,1.0,0.001,1.0,5.0,216.7435347866267
389,195,COMPLETED,1,46.0,42.0,11.0,18.0,17.0,8.0,1.0,0.001,1.0,5.0,216.7435347866267
390,196,INTERMEDIATE,1,15.0,41.0,8.0,10.0,10.0,4.0,1.0,0.001,0.0,5.0,195.77468240633607
391,196,COMPLETED,1,15.0,41.0,8.0,10.0,10.0,4.0,1.0,0.001,0.0,5.0,195.77468240633607
392,197,INTERMEDIATE,1,23.0,37.0,8.0,11.0,9.0,5.0,0.0,0.001,1.0,9.0,375.15740761347115
393,197,COMPLETED,1,23.0,37.0,8.0,11.0,9.0,5.0,0.0,0.001,1.0,9.0,375.15740761347115
394,198,INTERMEDIATE,1,16.0,40.0,7.0,9.0,10.0,4.0,1.0,0.001,1.0,6.0,308.7650554180145
395,198,COMPLETED,1,16.0,40.0,7.0,9.0,10.0,4.0,1.0,0.001,1.0,6.0,308.7650554180145
396,199,INTERMEDIATE,1,15.0,31.0,17.0,5.0,6.0,14.0,1.0,0.001,0.0,3.0,160.05442080181092
397,199,COMPLETED,1,15.0,31.0,17.0,5.0,6.0,14.0,1.0,0.001,0.0,3.0,160.05442080181092
398,200,INTERMEDIATE,1,17.0,37.0,9.0,13.0,7.0,5.0,1.0,0.001,0.0,7.0,181.25379453971982
399,200,COMPLETED,1,17.0,37.0,9.0,13.0,7.0,5.0,1.0,0.001,0.0,7.0,181.25379453971982
400,201,INTERMEDIATE,1,48.0,30.0,5.0,11.0,12.0,19.0,1.0,0.001,1.0,9.0,290.68106915056705
401,201,COMPLETED,1,48.0,30.0,5.0,11.0,12.0,19.0,1.0,0.001,1.0,9.0,290.68106915056705
402,202,INTERMEDIATE,1,17.0,35.0,10.0,13.0,8.0,5.0,0.0,0.001,0.0,6.0,215.98647911287844
403,202,COMPLETED,1,17.0,35.0,10.0,13.0,8.0,5.0,0.0,0.001,0.0,6.0,215.98647911287844
404,203,INTERMEDIATE,1,46.0,15.0,7.0,11.0,6.0,9.0,0.0,0.001,0.0,6.0,239.18582493811846
