,Trial-ID,Status,Iteration,batch_size,hidden_unit1,hidden_unit2,lr,lstm_hidden,Objective
54,28,INTERMEDIATE,1,1024.0,25.0,39.0,0.005,88.0,0.012082996992955387
55,28,COMPLETED,1,1024.0,25.0,39.0,0.005,88.0,0.012082996992955387
56,29,INTERMEDIATE,1,1024.0,30.0,38.0,0.005,76.0,0.013026171450864293
57,29,COMPLETED,1,1024.0,30.0,38.0,0.005,76.0,0.013026171450864293
58,30,INTERMEDIATE,1,1024.0,21.0,35.0,0.005,80.0,0.011800942164301253
59,30,COMPLETED,1,1024.0,21.0,35.0,0.005,80.0,0.011800942164301253
60,31,INTERMEDIATE,1,1024.0,20.0,35.0,0.005,78.0,0.011051454381158966
61,31,COMPLETED,1,1024.0,20.0,35.0,0.005,78.0,0.011051454381158966
62,32,INTERMEDIATE,1,1024.0,20.0,35.0,0.0005,77.0,0.011770927429268784
63,32,COMPLETED,1,1024.0,20.0,35.0,0.0005,77.0,0.011770927429268784
64,33,INTERMEDIATE,1,1024.0,20.0,36.0,0.005,78.0,0.011900195687569186
65,33,COMPLETED,1,1024.0,20.0,36.0,0.005,78.0,0.011900195687569186
66,34,INTERMEDIATE,1,1024.0,20.0,35.0,0.005,78.0,0.01229007222855547
67,34,COMPLETED,1,1024.0,20.0,35.0,0.005,78.0,0.01229007222855547
68,35,INTERMEDIATE,1,512.0,35.0,53.0,0.0005,81.0,0.012922591856670374
69,35,COMPLETED,1,512.0,35.0,53.0,0.0005,81.0,0.012922591856670374
70,36,INTERMEDIATE,1,1024.0,18.0,35.0,0.005,80.0,0.012253705932912855
71,36,COMPLETED,1,1024.0,18.0,35.0,0.005,80.0,0.012253705932912855
72,37,INTERMEDIATE,1,1024.0,22.0,35.0,0.005,80.0,0.011446764090319058
73,37,COMPLETED,1,1024.0,22.0,35.0,0.005,80.0,0.011446764090319058
74,38,INTERMEDIATE,1,1024.0,22.0,35.0,0.005,81.0,0.01179759864143787
75,38,COMPLETED,1,1024.0,22.0,35.0,0.005,81.0,0.01179759864143787
76,39,INTERMEDIATE,1,1024.0,21.0,27.0,0.005,72.0,0.011597301881447392
77,39,COMPLETED,1,1024.0,21.0,27.0,0.005,72.0,0.011597301881447392
78,40,INTERMEDIATE,1,1024.0,22.0,24.0,0.005,71.0,0.011544345430771253
79,40,COMPLETED,1,1024.0,22.0,24.0,0.005,71.0,0.011544345430771253
80,41,INTERMEDIATE,1,1024.0,20.0,23.0,0.005,69.0,0.012247645378559194
81,41,COMPLETED,1,1024.0,20.0,23.0,0.005,69.0,0.012247645378559194
82,42,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.010872522830789932
83,42,COMPLETED,1,1024.0,16.0,0.0,0.005,40.0,0.010872522830789932
84,43,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.011608940776893858
85,43,COMPLETED,1,1024.0,16.0,0.0,0.005,40.0,0.011608940776893858
86,44,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.011906736824607677
87,44,COMPLETED,1,1024.0,16.0,0.0,0.005,40.0,0.011906736824607677
88,45,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.010719142125197817
89,45,COMPLETED,1,1024.0,16.0,0.0,0.005,40.0,0.010719142125197817
90,46,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.011345237220155409
91,46,COMPLETED,1,1024.0,16.0,0.0,0.005,40.0,0.011345237220155409
92,47,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.01226111832755737
93,47,COMPLETED,1,1024.0,16.0,0.0,0.005,40.0,0.01226111832755737
94,48,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.01286151895884362
95,48,COMPLETED,1,1024.0,16.0,0.0,0.005,40.0,0.01286151895884362
96,49,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.011390687721284909
97,49,COMPLETED,1,1024.0,16.0,0.0,0.005,40.0,0.011390687721284909
98,50,INTERMEDIATE,1,1024.0,16.0,0.0,0.005,40.0,0.011528055253537544
