,Trial-ID,Status,Iteration,batch_size,gru_hidden,hidden_unit1,hidden_unit2,lr,Objective
188,95,INTERMEDIATE,1,1024.0,21.0,31.0,2.0,0.005,0.03284249771953901
189,95,COMPLETED,1,1024.0,21.0,31.0,2.0,0.005,0.03284249771953901
190,96,INTERMEDIATE,1,512.0,23.0,36.0,18.0,0.05,7.393978375087268e-06
191,96,COMPLETED,1,512.0,23.0,36.0,18.0,0.05,7.393978375087268e-06
192,97,INTERMEDIATE,1,512.0,36.0,33.0,9.0,0.05,9.272429621599943e-06
193,97,COMPLETED,1,512.0,36.0,33.0,9.0,0.05,9.272429621599943e-06
194,98,INTERMEDIATE,1,512.0,35.0,21.0,0.0,0.05,3.37166762158581e-05
195,98,COMPLETED,1,512.0,35.0,21.0,0.0,0.05,3.37166762158581e-05
196,99,INTERMEDIATE,1,512.0,38.0,36.0,0.0,0.05,5.877926881886581e-05
197,99,COMPLETED,1,512.0,38.0,36.0,0.0,0.05,5.877926881886581e-05
198,100,INTERMEDIATE,1,512.0,35.0,42.0,9.0,0.05,0.032830652112681734
199,100,COMPLETED,1,512.0,35.0,42.0,9.0,0.05,0.032830652112681734
