,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride3,Objective
179,90,COMPLETED,1,2048.0,92.0,399.0,2.0,1.0,2.0,2.0,0.023777092664428272,23.0,136.0,2.0,1.0,0.002833524629307444
180,91,INTERMEDIATE,1,1024.0,442.0,480.0,1.0,2.0,2.0,2.0,0.03105550229304084,161.0,16.0,1.0,2.0,0.054402148942802285
181,91,COMPLETED,1,1024.0,442.0,480.0,1.0,2.0,2.0,2.0,0.03105550229304084,161.0,16.0,1.0,2.0,0.054402148942802285
182,92,INTERMEDIATE,1,1024.0,495.0,272.0,2.0,2.0,2.0,2.0,0.04013706430152537,124.0,86.0,2.0,2.0,0.001897810553132548
183,92,COMPLETED,1,1024.0,495.0,272.0,2.0,2.0,2.0,2.0,0.04013706430152537,124.0,86.0,2.0,2.0,0.001897810553132548
184,93,INTERMEDIATE,1,2048.0,316.0,288.0,1.0,2.0,1.0,1.0,0.032628450440910485,55.0,28.0,2.0,1.0,0.018581341878612094
185,93,COMPLETED,1,2048.0,316.0,288.0,1.0,2.0,1.0,1.0,0.032628450440910485,55.0,28.0,2.0,1.0,0.018581341878612094
186,94,INTERMEDIATE,1,1024.0,252.0,241.0,1.0,1.0,1.0,2.0,5e-05,103.0,49.0,1.0,1.0,0.0001548346358478207
187,94,COMPLETED,1,1024.0,252.0,241.0,1.0,1.0,1.0,2.0,5e-05,103.0,49.0,1.0,1.0,0.0001548346358478207
188,95,INTERMEDIATE,1,1024.0,311.0,282.0,1.0,1.0,2.0,2.0,5e-05,67.0,22.0,1.0,2.0,0.0003372080221369873
189,95,COMPLETED,1,1024.0,311.0,282.0,1.0,1.0,2.0,2.0,5e-05,67.0,22.0,1.0,2.0,0.0003372080221369873
190,96,INTERMEDIATE,1,256.0,460.0,101.0,2.0,1.0,2.0,2.0,5e-05,70.0,44.0,1.0,1.0,3.80098479345866e-05
191,96,COMPLETED,1,256.0,460.0,101.0,2.0,1.0,2.0,2.0,5e-05,70.0,44.0,1.0,1.0,3.80098479345866e-05
192,97,INTERMEDIATE,1,2048.0,180.0,163.0,1.0,1.0,2.0,2.0,0.014130661516013915,134.0,109.0,1.0,2.0,0.00040101834079429605
193,97,COMPLETED,1,2048.0,180.0,163.0,1.0,1.0,2.0,2.0,0.014130661516013915,134.0,109.0,1.0,2.0,0.00040101834079429605
194,98,INTERMEDIATE,1,256.0,177.0,158.0,1.0,2.0,2.0,1.0,0.026651007335777462,128.0,105.0,1.0,2.0,0.051426162684314894
195,98,COMPLETED,1,256.0,177.0,158.0,1.0,2.0,2.0,1.0,0.026651007335777462,128.0,105.0,1.0,2.0,0.051426162684314894
196,99,INTERMEDIATE,1,2048.0,184.0,159.0,1.0,1.0,1.0,2.0,0.005244183270733785,137.0,112.0,2.0,1.0,0.001091711984178356
197,99,COMPLETED,1,2048.0,184.0,159.0,1.0,1.0,1.0,2.0,0.005244183270733785,137.0,112.0,2.0,1.0,0.001091711984178356
198,100,INTERMEDIATE,1,1024.0,445.0,488.0,1.0,2.0,2.0,2.0,0.04119527903950589,178.0,22.0,1.0,2.0,0.050789668770575475
199,100,COMPLETED,1,1024.0,445.0,488.0,1.0,2.0,2.0,2.0,0.04119527903950589,178.0,22.0,1.0,2.0,0.050789668770575475
