,Trial-ID,Status,Iteration,batch_size,conv1,conv2,conv3,conv6,h1,h2,lr,Objective
154,78,INTERMEDIATE,1,1024.0,4.0,4.0,4.0,2.0,63.0,37.0,0.02075071124528704,0.9256057771000327
155,78,COMPLETED,1,1024.0,4.0,4.0,4.0,2.0,63.0,37.0,0.02075071124528704,0.9256057771000327
156,79,INTERMEDIATE,1,512.0,2.0,5.0,3.0,6.0,61.0,49.0,0.021236169410667808,0.7146831342177653
157,79,COMPLETED,1,512.0,2.0,5.0,3.0,6.0,61.0,49.0,0.021236169410667808,0.7146831342177653
158,80,INTERMEDIATE,1,512.0,2.0,4.0,3.0,5.0,23.0,26.0,0.01027685796249779,0.7543354166339366
159,80,COMPLETED,1,512.0,2.0,4.0,3.0,5.0,23.0,26.0,0.01027685796249779,0.7543354166339366
160,81,INTERMEDIATE,1,2048.0,3.0,5.0,2.0,4.0,56.0,48.0,0.04666195531145646,0.7897043663779418
161,81,COMPLETED,1,2048.0,3.0,5.0,2.0,4.0,56.0,48.0,0.04666195531145646,0.7897043663779418
162,82,INTERMEDIATE,1,1024.0,3.0,4.0,3.0,7.0,24.0,24.0,0.048829573342597826,0.8016844856634802
163,82,COMPLETED,1,1024.0,3.0,4.0,3.0,7.0,24.0,24.0,0.048829573342597826,0.8016844856634802
164,83,INTERMEDIATE,1,512.0,2.0,3.0,3.0,5.0,24.0,22.0,0.017781551790042264,1.047998310897762
165,83,COMPLETED,1,512.0,2.0,3.0,3.0,5.0,24.0,22.0,0.017781551790042264,1.047998310897762
166,84,INTERMEDIATE,1,1024.0,2.0,4.0,3.0,4.0,22.0,27.0,0.02035853424797044,0.927922115994754
167,84,COMPLETED,1,1024.0,2.0,4.0,3.0,4.0,22.0,27.0,0.02035853424797044,0.927922115994754
168,85,INTERMEDIATE,1,2048.0,5.0,4.0,4.0,7.0,43.0,50.0,0.033203894995305246,1.057443545085197
169,85,COMPLETED,1,2048.0,5.0,4.0,4.0,7.0,43.0,50.0,0.033203894995305246,1.057443545085197
170,86,INTERMEDIATE,1,2048.0,4.0,3.0,3.0,7.0,23.0,52.0,0.02133909470010398,1.0331412031271303
171,86,COMPLETED,1,2048.0,4.0,3.0,3.0,7.0,23.0,52.0,0.02133909470010398,1.0331412031271303
172,87,INTERMEDIATE,1,512.0,2.0,4.0,4.0,7.0,61.0,48.0,0.019059960259492584,0.8846986056290429
173,87,COMPLETED,1,512.0,2.0,4.0,4.0,7.0,61.0,48.0,0.019059960259492584,0.8846986056290429
174,88,INTERMEDIATE,1,1024.0,4.0,5.0,3.0,7.0,23.0,25.0,0.039771442822408055,0.8037077740291513
175,88,COMPLETED,1,1024.0,4.0,5.0,3.0,7.0,23.0,25.0,0.039771442822408055,0.8037077740291513
176,89,INTERMEDIATE,1,1024.0,5.0,4.0,2.0,5.0,23.0,25.0,0.014169015271241342,0.8354127876616269
177,89,COMPLETED,1,1024.0,5.0,4.0,2.0,5.0,23.0,25.0,0.014169015271241342,0.8354127876616269
178,90,INTERMEDIATE,1,1024.0,2.0,4.0,2.0,3.0,41.0,38.0,0.026155733355700348,0.7548104060978652
179,90,COMPLETED,1,1024.0,2.0,4.0,2.0,3.0,41.0,38.0,0.026155733355700348,0.7548104060978652
180,91,INTERMEDIATE,1,2048.0,3.0,2.0,3.0,3.0,55.0,51.0,0.017471458433213054,0.7592395261434147
181,91,COMPLETED,1,2048.0,3.0,2.0,3.0,3.0,55.0,51.0,0.017471458433213054,0.7592395261434147
182,92,INTERMEDIATE,1,512.0,5.0,2.0,2.0,6.0,41.0,18.0,0.008495316276990088,0.841986471565266
183,92,COMPLETED,1,512.0,5.0,2.0,2.0,6.0,41.0,18.0,0.008495316276990088,0.841986471565266
184,93,INTERMEDIATE,1,1024.0,4.0,5.0,2.0,5.0,56.0,49.0,0.04525807626237135,0.8166189484144802
185,93,COMPLETED,1,1024.0,4.0,5.0,2.0,5.0,56.0,49.0,0.04525807626237135,0.8166189484144802
186,94,INTERMEDIATE,1,512.0,2.0,4.0,3.0,6.0,23.0,22.0,0.01974499263306826,0.9124391951275534
187,94,COMPLETED,1,512.0,2.0,4.0,3.0,6.0,23.0,22.0,0.01974499263306826,0.9124391951275534
188,95,INTERMEDIATE,1,512.0,3.0,4.0,3.0,4.0,25.0,58.0,0.015438062861298889,0.811199262293692
189,95,COMPLETED,1,512.0,3.0,4.0,3.0,4.0,25.0,58.0,0.015438062861298889,0.811199262293692
190,96,INTERMEDIATE,1,2048.0,4.0,5.0,2.0,6.0,22.0,24.0,0.023084197173165993,0.8325031092469449
191,96,COMPLETED,1,2048.0,4.0,5.0,2.0,6.0,22.0,24.0,0.023084197173165993,0.8325031092469449
192,97,INTERMEDIATE,1,1024.0,4.0,5.0,3.0,3.0,43.0,37.0,0.04475245880970103,0.7371599595784166
193,97,COMPLETED,1,1024.0,4.0,5.0,3.0,3.0,43.0,37.0,0.04475245880970103,0.7371599595784166
194,98,INTERMEDIATE,1,512.0,2.0,5.0,3.0,6.0,62.0,48.0,0.030828868429933064,0.7526980454153921
195,98,COMPLETED,1,512.0,2.0,5.0,3.0,6.0,62.0,48.0,0.030828868429933064,0.7526980454153921
196,99,INTERMEDIATE,1,1024.0,3.0,3.0,2.0,3.0,63.0,54.0,0.03333811745657563,0.938648626782016
197,99,COMPLETED,1,1024.0,3.0,3.0,2.0,3.0,63.0,54.0,0.03333811745657563,0.938648626782016
198,100,INTERMEDIATE,1,1024.0,2.0,4.0,2.0,4.0,57.0,48.0,0.012103106243952961,0.7835414493288255
199,100,COMPLETED,1,1024.0,2.0,4.0,2.0,4.0,57.0,48.0,0.012103106243952961,0.7835414493288255
