,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride2,stride3,stride4,Objective
129,65,COMPLETED,1,256.0,45.0,26.0,1.0,1.0,1.0,1.0,5e-05,66.0,45.0,1.0,1.0,1.0,1.0,7.040735749209926e-06
130,66,INTERMEDIATE,1,512.0,42.0,21.0,1.0,1.0,1.0,1.0,0.0107582009512804,65.0,45.0,1.0,1.0,1.0,1.0,5.3116133068805e-05
131,66,COMPLETED,1,512.0,42.0,21.0,1.0,1.0,1.0,1.0,0.0107582009512804,65.0,45.0,1.0,1.0,1.0,1.0,5.3116133068805e-05
132,67,INTERMEDIATE,1,2048.0,38.0,21.0,1.0,1.0,1.0,1.0,0.015777484256235166,58.0,48.0,1.0,1.0,1.0,1.0,7.337297102365222e-06
133,67,COMPLETED,1,2048.0,38.0,21.0,1.0,1.0,1.0,1.0,0.015777484256235166,58.0,48.0,1.0,1.0,1.0,1.0,7.337297102365222e-06
134,68,INTERMEDIATE,1,256.0,46.0,29.0,1.0,1.0,1.0,1.0,0.01217225148853893,88.0,61.0,1.0,1.0,1.0,1.0,4.867297817780755e-05
135,68,COMPLETED,1,256.0,46.0,29.0,1.0,1.0,1.0,1.0,0.01217225148853893,88.0,61.0,1.0,1.0,1.0,1.0,4.867297817780755e-05
136,69,INTERMEDIATE,1,2048.0,33.0,20.0,1.0,1.0,1.0,1.0,0.02899184266706289,56.0,47.0,1.0,1.0,1.0,1.0,0.00015152654727288724
137,69,COMPLETED,1,2048.0,33.0,20.0,1.0,1.0,1.0,1.0,0.02899184266706289,56.0,47.0,1.0,1.0,1.0,1.0,0.00015152654727288724
138,70,INTERMEDIATE,1,2048.0,46.0,30.0,1.0,1.0,1.0,1.0,5e-05,85.0,64.0,1.0,1.0,1.0,1.0,0.010527644327654382
139,70,COMPLETED,1,2048.0,46.0,30.0,1.0,1.0,1.0,1.0,5e-05,85.0,64.0,1.0,1.0,1.0,1.0,0.010527644327654382
140,71,INTERMEDIATE,1,256.0,46.0,18.0,1.0,1.0,1.0,1.0,0.004874948745541775,68.0,46.0,1.0,1.0,1.0,1.0,4.468473920339447e-05
141,71,COMPLETED,1,256.0,46.0,18.0,1.0,1.0,1.0,1.0,0.004874948745541775,68.0,46.0,1.0,1.0,1.0,1.0,4.468473920339447e-05
142,72,INTERMEDIATE,1,256.0,49.0,25.0,1.0,1.0,1.0,1.0,0.021054528354370144,89.0,60.0,1.0,1.0,1.0,1.0,0.032972678363447694
143,72,COMPLETED,1,256.0,49.0,25.0,1.0,1.0,1.0,1.0,0.021054528354370144,89.0,60.0,1.0,1.0,1.0,1.0,0.032972678363447694
144,73,INTERMEDIATE,1,256.0,46.0,22.0,1.0,1.0,1.0,1.0,0.003713862161511733,66.0,46.0,1.0,1.0,1.0,1.0,6.059249162631686e-06
145,73,COMPLETED,1,256.0,46.0,22.0,1.0,1.0,1.0,1.0,0.003713862161511733,66.0,46.0,1.0,1.0,1.0,1.0,6.059249162631686e-06
146,74,INTERMEDIATE,1,256.0,45.0,30.0,1.0,1.0,1.0,1.0,0.0026350932676090723,90.0,63.0,1.0,1.0,1.0,1.0,6.74992292025177e-06
147,74,COMPLETED,1,256.0,45.0,30.0,1.0,1.0,1.0,1.0,0.0026350932676090723,90.0,63.0,1.0,1.0,1.0,1.0,6.74992292025177e-06
148,75,INTERMEDIATE,1,256.0,44.0,32.0,1.0,1.0,1.0,1.0,0.013889213583695888,87.0,60.0,1.0,1.0,1.0,1.0,0.00015119301100615558
149,75,COMPLETED,1,256.0,44.0,32.0,1.0,1.0,1.0,1.0,0.013889213583695888,87.0,60.0,1.0,1.0,1.0,1.0,0.00015119301100615558
150,76,INTERMEDIATE,1,2048.0,45.0,22.0,1.0,1.0,1.0,1.0,0.021393607617453587,83.0,59.0,1.0,1.0,1.0,1.0,1.361103552979115e-05
151,76,COMPLETED,1,2048.0,45.0,22.0,1.0,1.0,1.0,1.0,0.021393607617453587,83.0,59.0,1.0,1.0,1.0,1.0,1.361103552979115e-05
152,77,INTERMEDIATE,1,2048.0,47.0,18.0,1.0,1.0,1.0,1.0,0.04333519425499101,86.0,59.0,1.0,1.0,1.0,1.0,1.0517000774224773e-05
153,77,COMPLETED,1,2048.0,47.0,18.0,1.0,1.0,1.0,1.0,0.04333519425499101,86.0,59.0,1.0,1.0,1.0,1.0,1.0517000774224773e-05
154,78,INTERMEDIATE,1,2048.0,43.0,26.0,1.0,1.0,1.0,1.0,0.017114688140499004,84.0,59.0,1.0,1.0,1.0,1.0,1.3100396652189752e-05
155,78,COMPLETED,1,2048.0,43.0,26.0,1.0,1.0,1.0,1.0,0.017114688140499004,84.0,59.0,1.0,1.0,1.0,1.0,1.3100396652189752e-05
156,79,INTERMEDIATE,1,2048.0,45.0,22.0,1.0,1.0,1.0,1.0,0.017974326686238974,84.0,63.0,1.0,1.0,1.0,1.0,0.0002600280595600076
157,79,COMPLETED,1,2048.0,45.0,22.0,1.0,1.0,1.0,1.0,0.017974326686238974,84.0,63.0,1.0,1.0,1.0,1.0,0.0002600280595600076
158,80,INTERMEDIATE,1,2048.0,50.0,16.0,1.0,1.0,1.0,1.0,0.05,90.0,57.0,1.0,1.0,1.0,1.0,1.1315009014524888e-05
159,80,COMPLETED,1,2048.0,50.0,16.0,1.0,1.0,1.0,1.0,0.05,90.0,57.0,1.0,1.0,1.0,1.0,1.1315009014524888e-05
160,81,INTERMEDIATE,1,256.0,46.0,27.0,1.0,1.0,1.0,1.0,5e-05,91.0,68.0,1.0,1.0,1.0,1.0,6.089148335358514e-06
161,81,COMPLETED,1,256.0,46.0,27.0,1.0,1.0,1.0,1.0,5e-05,91.0,68.0,1.0,1.0,1.0,1.0,6.089148335358514e-06
162,82,INTERMEDIATE,1,2048.0,40.0,20.0,1.0,1.0,1.0,1.0,0.012463456188349532,52.0,51.0,1.0,1.0,1.0,1.0,0.00042576412854678414
163,82,COMPLETED,1,2048.0,40.0,20.0,1.0,1.0,1.0,1.0,0.012463456188349532,52.0,51.0,1.0,1.0,1.0,1.0,0.00042576412854678414
164,83,INTERMEDIATE,1,256.0,50.0,31.0,1.0,1.0,1.0,1.0,5e-05,78.0,56.0,1.0,1.0,1.0,1.0,6.192396345824426e-06
165,83,COMPLETED,1,256.0,50.0,31.0,1.0,1.0,1.0,1.0,5e-05,78.0,56.0,1.0,1.0,1.0,1.0,6.192396345824426e-06
166,84,INTERMEDIATE,1,256.0,45.0,37.0,1.0,1.0,1.0,1.0,0.015303019010013677,90.0,63.0,1.0,1.0,1.0,1.0,0.03286098074168002
