,Trial-ID,Status,Iteration,hidden,hidden1_pm,hidden1_stator,hidden2_pm,hidden2_stator,input_rec,lr,output_rec,window,Objective
25,13,COMPLETED,1,29.0,19.0,9.0,18.0,8.0,0.0,0.01,0.0,4.0,0.024545084216156997
26,14,INTERMEDIATE,1,22.0,17.0,10.0,3.0,10.0,1.0,0.01,-1.0,26.0,0.02628212976653146
27,14,COMPLETED,1,22.0,17.0,10.0,3.0,10.0,1.0,0.01,-1.0,26.0,0.02628212976653146
28,15,INTERMEDIATE,1,31.0,18.0,6.0,17.0,9.0,1.0,0.01,0.0,4.0,0.02652504417475051
29,15,COMPLETED,1,31.0,18.0,6.0,17.0,9.0,1.0,0.01,0.0,4.0,0.02652504417475051
30,16,INTERMEDIATE,1,18.0,7.0,10.0,4.0,19.0,0.0,0.01,0.0,20.0,0.020092102912648135
31,16,COMPLETED,1,18.0,7.0,10.0,4.0,19.0,0.0,0.01,0.0,20.0,0.020092102912648135
32,17,INTERMEDIATE,1,16.0,7.0,8.0,3.0,18.0,1.0,0.01,0.0,19.0,0.03027538231728899
33,17,COMPLETED,1,16.0,7.0,8.0,3.0,18.0,1.0,0.01,0.0,19.0,0.03027538231728899
34,18,INTERMEDIATE,1,24.0,17.0,11.0,9.0,15.0,1.0,0.01,-1.0,15.0,0.029763212222326887
35,18,COMPLETED,1,24.0,17.0,11.0,9.0,15.0,1.0,0.01,-1.0,15.0,0.029763212222326887
36,19,INTERMEDIATE,1,24.0,3.0,15.0,18.0,7.0,0.0,0.01,0.0,5.0,0.0252040980147494
37,19,COMPLETED,1,24.0,3.0,15.0,18.0,7.0,0.0,0.01,0.0,5.0,0.0252040980147494
38,20,INTERMEDIATE,1,28.0,15.0,7.0,16.0,9.0,0.0,0.01,0.0,5.0,0.012438067732832878
39,20,COMPLETED,1,28.0,15.0,7.0,16.0,9.0,0.0,0.01,0.0,5.0,0.012438067732832878
40,21,INTERMEDIATE,1,27.0,14.0,5.0,15.0,4.0,0.0,0.01,-1.0,9.0,0.02025517270946818
41,21,COMPLETED,1,27.0,14.0,5.0,15.0,4.0,0.0,0.01,-1.0,9.0,0.02025517270946818
42,22,INTERMEDIATE,1,30.0,14.0,7.0,17.0,5.0,0.0,0.01,0.0,7.0,0.017526146709990767
43,22,COMPLETED,1,30.0,14.0,7.0,17.0,5.0,0.0,0.01,0.0,7.0,0.017526146709990767
44,23,INTERMEDIATE,1,24.0,19.0,8.0,13.0,10.0,0.0,0.01,-1.0,6.0,0.02572171693068978
45,23,COMPLETED,1,24.0,19.0,8.0,13.0,10.0,0.0,0.01,-1.0,6.0,0.02572171693068978
46,24,INTERMEDIATE,1,28.0,15.0,9.0,13.0,10.0,0.0,0.01,0.0,6.0,0.018526777042783667
47,24,COMPLETED,1,28.0,15.0,9.0,13.0,10.0,0.0,0.01,0.0,6.0,0.018526777042783667
48,25,INTERMEDIATE,1,30.0,20.0,5.0,13.0,9.0,1.0,0.01,-1.0,5.0,0.026513174613872793
49,25,COMPLETED,1,30.0,20.0,5.0,13.0,9.0,1.0,0.01,-1.0,5.0,0.026513174613872793
50,26,INTERMEDIATE,1,23.0,14.0,7.0,20.0,6.0,0.0,0.01,0.0,7.0,0.021605234754986064
51,26,COMPLETED,1,23.0,14.0,7.0,20.0,6.0,0.0,0.01,0.0,7.0,0.021605234754986064
52,27,INTERMEDIATE,1,25.0,14.0,6.0,18.0,8.0,0.0,0.01,0.0,8.0,0.025908628644393975
53,27,COMPLETED,1,25.0,14.0,6.0,18.0,8.0,0.0,0.01,0.0,8.0,0.025908628644393975
54,28,INTERMEDIATE,1,24.0,20.0,5.0,17.0,9.0,1.0,0.01,0.0,6.0,0.018381602297870097
55,28,COMPLETED,1,24.0,20.0,5.0,17.0,9.0,1.0,0.01,0.0,6.0,0.018381602297870097
56,29,INTERMEDIATE,1,25.0,18.0,6.0,20.0,9.0,1.0,0.01,0.0,4.0,0.019261088085468402
57,29,COMPLETED,1,25.0,18.0,6.0,20.0,9.0,1.0,0.01,0.0,4.0,0.019261088085468402
58,30,INTERMEDIATE,1,27.0,16.0,8.0,17.0,6.0,1.0,0.01,0.0,6.0,0.024430610854547556
59,30,COMPLETED,1,27.0,16.0,8.0,17.0,6.0,1.0,0.01,0.0,6.0,0.024430610854547556
60,31,INTERMEDIATE,1,24.0,19.0,3.0,17.0,10.0,0.0,0.01,-1.0,7.0,0.045063508715507815
61,31,COMPLETED,1,24.0,19.0,3.0,17.0,10.0,0.0,0.01,-1.0,7.0,0.045063508715507815
62,32,INTERMEDIATE,1,29.0,13.0,6.0,3.0,8.0,1.0,0.01,-1.0,18.0,0.02900713772026012
63,32,COMPLETED,1,29.0,13.0,6.0,3.0,8.0,1.0,0.01,-1.0,18.0,0.02900713772026012
64,33,INTERMEDIATE,1,23.0,17.0,8.0,19.0,9.0,0.0,0.01,0.0,2.0,0.025284678367634466
65,33,COMPLETED,1,23.0,17.0,8.0,19.0,9.0,0.0,0.01,0.0,2.0,0.025284678367634466
66,34,INTERMEDIATE,1,28.0,16.0,9.0,17.0,9.0,0.0,0.01,0.0,4.0,0.015643454925825
67,34,COMPLETED,1,28.0,16.0,9.0,17.0,9.0,0.0,0.01,0.0,4.0,0.015643454925825
68,35,INTERMEDIATE,1,27.0,13.0,6.0,15.0,4.0,1.0,0.01,0.0,9.0,0.03671927058731297
69,35,COMPLETED,1,27.0,13.0,6.0,15.0,4.0,1.0,0.01,0.0,9.0,0.03671927058731297
70,36,INTERMEDIATE,1,23.0,17.0,8.0,12.0,15.0,1.0,0.01,-1.0,16.0,0.021841651362541
71,36,COMPLETED,1,23.0,17.0,8.0,12.0,15.0,1.0,0.01,-1.0,16.0,0.021841651362541
72,37,INTERMEDIATE,1,18.0,20.0,9.0,4.0,16.0,1.0,0.01,-1.0,3.0,0.02756028856157989
73,37,COMPLETED,1,18.0,20.0,9.0,4.0,16.0,1.0,0.01,-1.0,3.0,0.02756028856157989
74,38,INTERMEDIATE,1,30.0,15.0,18.0,11.0,13.0,1.0,0.01,0.0,2.0,0.022211641225043804
75,38,COMPLETED,1,30.0,15.0,18.0,11.0,13.0,1.0,0.01,0.0,2.0,0.022211641225043804
76,39,INTERMEDIATE,1,34.0,15.0,12.0,11.0,5.0,1.0,0.01,0.0,11.0,0.02248430438723901
